18:32:45	1	::1
18:32:56	1	::1
20:28:47	1	::1
20:29:20	1	::1
20:29:24	1	::1
20:31:16	1	::1
20:32:41	1	::1
20:34:33	1	::1
20:34:51	1	::1
20:35:34	1	::1
20:41:10	1	::1
20:41:28	1	::1
20:41:48	1	::1
20:42:12	1	::1
20:42:29	1	::1
20:42:30	1	::1
20:42:32	1	::1
20:42:48	1	::1
20:42:49	1	::1
20:42:50	1	::1
20:43:01	1	::1
20:43:02	1	::1
21:14:27	1	::1
21:14:41	1	::1
21:14:41	1	::1
21:15:48	1	::1
21:15:55	1	::1
21:16:09	1	::1
21:16:17	1	::1
21:16:18	1	::1
21:16:19	1	::1
21:16:42	1	::1
21:16:43	2	::1
21:16:44	3	::1
21:16:45	4	::1
21:16:46	5	::1
21:16:57	2	::1
21:16:58	1	::1
21:17:01	4	::1
22:05:33	1	::1
22:05:34	2	::1
22:05:34	3	::1
22:05:34	3	::1
22:05:35	3	::1
22:05:35	2	::1
22:05:35	1	::1
22:27:51	1	::1
22:27:51	1	::1
22:27:51	1	::1
22:27:52	2	::1
22:27:52	2	::1
22:27:52	2	::1
22:27:52	2	::1
22:27:53	3	::1
22:27:53	3	::1
22:27:53	3	::1
22:27:54	4	::1
22:27:54	4	::1
22:27:54	4	::1
22:27:54	4	::1
22:27:55	5	::1
22:27:55	5	::1
22:27:55	5	::1
22:27:55	5	::1
22:30:20	1	::1
22:30:20	1	::1
22:30:38	1	::1
22:30:38	1	::1
